source_ticket,destination_ticket,symbol,type,source_volume,destination_volume,status
665849508,665895199,XAUUSD,BUY_STOP,0.03,0.03,canceled
MANUAL_USDJPY_TEST,665888541,USDJPY,BUY_STOP,0.01,0.01,canceled
665849509,665895249,XAUUSD,SELL_STOP,0.03,0.03,canceled
665849513,665895407,XAUUSD,BUY_STOP,0.03,0.03,canceled
665849515,665895470,XAUUSD,SELL_STOP,0.03,0.03,canceled
665849517,666290744,XAUUSD,BUY_STOP,0.07,0.07,canceled
665849518,665895701,XAUUSD,SELL_STOP,0.07,0.07,canceled
665849522,666290862,XAUUSD,BUY_STOP,0.06,0.06,placed
665849525,666291148,XAUUSD,SELL_STOP,0.02,0.02,placed
665849527,665896001,XAUUSD,SELL_STOP,0.02,0.02,placed
665849532,666291363,XAUUSD,SELL_STOP,0.03,0.03,placed
665864360,666291509,XAUUSD,SELL_STOP,0.02,0.02,placed
665920311,665920758,XAUUSD,BUY_STOP,0.03,0.03,canceled
665920367,665925599,XAUUSD,SELL_STOP,0.03,0.03,canceled
665929698,666291625,XAUUSD,BUY_STOP,0.03,0.03,placed
665929878,666291731,XAUUSD,SELL_STOP,0.03,0.03,canceled
665930048,666292015,XAUUSD,BUY_STOP,0.03,0.03,placed
665929381,666268090,XAUUSD,BUY,0.01,0.01,closed
665930132,666292233,XAUUSD,SELL_STOP,0.03,0.03,placed
665930173,666292385,XAUUSD,SELL_STOP,0.07,0.07,canceled
666254672,666292616,XAUUSD,SELL_STOP,0.06,0.06,placed
666312123,666312283,XAUUSD,SELL,0.01,0.01,closed
666312752,666326211,XAUUSD,BUY,0.01,0.01,closed
666312899,666313055,XAUUSD,SELL,0.01,0.01,closed
666320519,666320628,XAUUSD,SELL,0.01,0.01,closed
666320960,666326489,XAUUSD,BUY,0.01,0.01,closed
666321372,666321585,XAUUSD,SELL,0.01,0.01,closed
666321377,666327749,XAUUSD,SELL,0.01,0.01,closed
666323470,666323636,XAUUSD,BUY,0.01,0.01,closed
666333387,666333480,XAUUSD,SELL,0.01,0.01,closed
666366161,666857010,XAUUSD,BUY_STOP,0.03,0.03,placed
666366165,666857220,XAUUSD,SELL_STOP,0.03,0.03,placed
666366170,666857510,XAUUSD,BUY_STOP,0.03,0.03,placed
666366173,666857684,XAUUSD,SELL_STOP,0.03,0.03,placed
666366176,666857859,XAUUSD,BUY_STOP,0.07,0.07,placed
666366178,666858030,XAUUSD,SELL_STOP,0.07,0.07,canceled
666366182,666858297,XAUUSD,BUY_STOP,0.06,0.06,canceled
666366183,666858473,XAUUSD,SELL_STOP,0.06,0.06,placed
666366187,666858631,XAUUSD,SELL_STOP,0.02,0.02,placed
666366194,666858859,XAUUSD,SELL_STOP,0.02,0.02,placed
666366198,666859116,XAUUSD,SELL_STOP,0.03,0.03,placed
666366200,666859263,XAUUSD,SELL_STOP,0.02,0.02,placed
666860736,666860911,XAUUSD,BUY,0.12,0.12,closed
666862072,666862263,XAUUSD,SELL,0.1,0.1,closed
666863071,666863223,XAUUSD,SELL_LIMIT,0.1,0.1,closed
666864331,666864483,XAUUSD,SELL,0.1,0.1,closed
666894478,666894625,XAUUSD,BUY_STOP,0.1,0.1,closed
666895140,666895534,XAUUSD,SELL,0.1,0.1,closed
666908133,666913762,XAUUSD,SELL_STOP,0.07,0.07,placed
666908183,666914183,XAUUSD,BUY_STOP,0.06,0.06,placed
